PLAYER,2020/21
Guerschon Yabusele,"$1,039,080"
Nick Richards,"$1,000,000"
Jahmi'us Ramsey,"$1,000,000"
Taj Gibson,"$1,000,000"
Elfrid Payton,"$1,000,000"
Kyle Singler,"$999,200"
Deividas Sirvydis,"$898,310"
KJ Martin,"$898,310"
Daniel Oturu,"$898,310"
Jordan Nwora,"$898,310"
Isaiah Joe,"$898,310"
CJ Elleby,"$898,310"
Tre Jones,"$898,310"
Elijah Hughes,"$898,310"
Anthony Gill,"$898,310"
Reggie Perry,"$898,310"
Keandre Cook,"$898,310"
Javin DeLaurier,"$898,310"
Xavier Sneed,"$898,310"
Kahlil Whitney,"$898,310"
Charles Matthews,"$898,310"
Freddie Gillespie,"$898,310"
Devonte Patterson,"$898,310"
Kaleb Wesson,"$898,310"
Dwayne Sutton,"$898,310"
Trevelin Queen,"$898,310"
Brodric Thomas,"$898,310"
Amida Brimah,"$898,310"
Rayshaun Hammonds,"$898,310"
Malik Fitts,"$898,310"
Jordan Ford,"$898,310"
Jahlil Tripp,"$898,310"
Paul Eboua,"$898,310"
Breein Tyree,"$898,310"
Sam Merrill,"$898,310"
EJ Montgomery,"$898,310"
Tony Carr,"$898,310"
Myles Powell,"$898,310"
Devin Cannady,"$898,310"
Jon Teske,"$898,310"
Romaro Gill,"$898,310"
Jake Toolson,"$898,310"
Yoeli Childs,"$898,310"
Caleb Homesley,"$898,310"
Marlon Taylor,"$898,310"
Khyri Thomas,"$744,684"
Cole Aldrich,"$685,340"
Shaun Livingston,"$666,666"
Jordan Bell,"$580,062"
Dakari Johnson,"$459,414"
AJ Hammons,"$350,087"
CJ Watson,"$333,333"
Troy Williams,"$122,741"
Demetrius Jackson,"$92,857"
Nathan Knight,"$79,568"
Skylar Mays,"$79,568"
Tacko Fall,"$79,568"
Tremont Waters,"$79,568"
Nate Darling,"$79,568"
Devon Dotson,"$79,568"
Adam Mokoka,"$79,568"
Lamar Stevens,"$79,568"
Tyler Bey,"$79,568"
Markus Howard,"$79,568"
Greg Whittington,"$79,568"
Louis King,"$79,568"
Saben Lee,"$79,568"
Nico Mannion,"$79,568"
Mason Jones,"$79,568"
Kenny Wooten,"$79,568"
Brian Bowen,"$79,568"
Cassius Stanley,"$79,568"
Jay Scrubb,"$79,568"
Kostas Antetokounmpo,"$79,568"
Sean McDermott,"$79,568"
Killian Tillie,"$79,568"
Gabe Vincent,"$79,568"
Jaylen Adams,"$79,568"
Mamadi Diakite,"$79,568"
Ashton Hagans,"$79,568"
Naji Marshall,"$79,568"
Jared Harper,"$79,568"
Josh Hall,"$79,568"
Jordan Bone,"$79,568"
Karim Mane,"$79,568"
Dakota Mathias,"$79,568"
Ty-Shon Alexander,"$79,568"
Keljin Blevins,"$79,568"
Keita Bates-Diop,"$79,568"
Quinndary Weatherspoon,"$79,568"
Jarrell Brantley,"$79,568"
Trent Forrest,"$79,568"
